caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs
buy-under-0001,0,constraint_budget_set,recommend,2,False,구성품이 함께 포함된 세트 상품,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,4498
buy-under-0001,1,constraint_budget_set,recommend,2,False,세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3456
buy-under-0001,2,constraint_budget_set,recommend,2,False,세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3654
buy-under-0001,3,constraint_budget_set,recommend,2,False,구성품이 함께 포함된 세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,4120
buy-under-0001,4,constraint_budget_set,recommend,2,False,세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3114
buy-under-0001,5,constraint_budget_set,recommend,2,False,세트 상품,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,4533
buy-under-0001,6,constraint_budget_set,recommend,2,False,구성품이 함께 포함된 세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3503
buy-under-0001,7,constraint_budget_set,recommend,2,False,세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3538
buy-under-0002,0,no_condition,recommend,3,False,다양한 인기 상품 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3563
buy-under-0002,1,no_condition,recommend,3,False,다양한 추천 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3573
buy-under-0002,2,no_condition,recommend,3,False,다양한 추천 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2139
buy-under-0002,3,no_condition,recommend,2,False,추천 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3085
buy-under-0002,4,no_condition,recommend,3,False,다양한 추천 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3072
buy-under-0002,5,no_condition,recommend,3,False,다양한 인기 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3081
buy-under-0002,6,no_condition,recommend,3,False,추천할 만한 다양한 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2619
buy-under-0002,7,no_condition,recommend,3,False,추천할 만한 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,6199
